ID;Cidade ;Idade; nota;;;;
1;D_C;24;9;;;;
2;D_C;23;8;;;;
3;D_C;24;10;;;;
4;D_C;20;10;;;;
5;D_C;21;;;;;
6;D_C;32;9;;;;
7;D_C;31;8;;;;
8;D_C;44;9;;;;
9;D_C;54;;;;;
10;D_C;23;9;;;;
11;D_C;;;;;;
12;D_C;;9;;;;
13;D_C;;8;;;;
14;D_C;43;10;;;;
15;D_C;42;;;;;
16;D_C;33;;;;;
17;D_C;45;9;;;;
18;D_C;28;9;;;;
19;D_C;29;;;;;
20;D_C;30;10;;;;
21;D_C;;10;;;;
22;D_C;;;;;;
23;D_C;;9;;;;
24;D_C;55;9;;;;
25;D_C;;10;;;;
26;D_C;;7;;;;
27;D_C;22;;;;;
28;D_C;;;;;;
29;D_C;21;7;;;;
30;D_C;35;8;;;;
31;D_C;56;9;;;;
32;D_C;47;10;;;;
33;D_C;40;;;;;
34;D_C;;10;;;;
35;D_C;;10;;;;
36;D_C;36;9;;;;
37;D_C;;;;;;
38;D_C;;9;;;;
39;D_C;;10;;;;
40;D_C;34;10;;;;
41;D_C;;8;;;;
42;D_C;33;9;;;;
43;D_C;40;8;;;;
44;D_C;41;;;;;
45;D_C;;;;;;
46;D_C;;9;;;;
47;D_C;50;;;;;
48;D_C;22;;;;;
49;D_C;;8;;;;
50;D_C;31;9;;;;
51;D_C;31;9;;;;
52;D_C;;;;;;
53;D_C;;9;;;;
54;D_C;19;9;;;;
55;D_C;38;10;;;;
56;D_C;;10;;;;
57;D_C;;;;;;
58;D_C;25;10;;;;
59;D_C;;10;;;;
60;D_C;23;8;;;;
61;D_C;23;7;;;;
62;D_C;33;8;;;;
63;D_C;;9;;;;
64;D_C;42;9;;;;
65;D_C;18;;;;;
66;D_C;;10;;;;
67;D_C;;10;;;;
68;D_C;39;9;;;;
69;D_C;40;;;;;
70;D_C;;9;;;;
71;D_C;;;;;;
72;D_C;32;9;;;;
73;D_C;41;;;;;
74;D_C;46;10;;;;
75;D_C;;9;;;;
76;D_C;;10;;;;
77;D_C;30;10;;;;
78;D_C;20;10;;;;
79;D_C;40;8;;;;
80;D_C;;10;;;;
81;D_C;;;;;;
82;D_C;27;9;;;;
83;D_C;;;;;;
84;D_C;39;9;;;;
85;D_C;35;;;;;
86;D_C;;8;;;;
87;D_C;22;10;;;;
88;D_C;;9;;;;
89;D_C;23;9;;;;
90;D_C;19;9;;;;
91;D_C;;9;;;;
92;D_C;33;;;;;
93;D_C;22;10;;;;
94;D_C;;10;;;;
95;D_C;;10;;;;
96;D_C;;9;;;;
97;D_C;44;9;;;;
98;D_C;;9;;;;
99;D_C;23;9;;;;
100;D_C;41;9;;;;
